Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.228,3.300510787166764e-05,164.64263231616496,220241.89434682505,2.5411247227e-314,0.31797957267663246,0.43891169311412026,0.09871637290788282
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.127,3.308855299927232e-05,166.19259748351564,223079.564851185,2.5875426155e-314,0.32578932787401493,0.4446029803605574,0.10248729561467375
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.025,3.26069837469488e-05,165.63913569181102,223796.58999685963,2.319660827e-314,0.3230006193305152,0.4460410599616537,0.1019028568368771
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.924,3.220191143079047e-05,165.39134043376157,224491.0216813385,2.0943318717e-314,0.32175206204342066,0.4474338256768148,0.10181145180454418
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.823,3.204336631524351e-05,165.83732952581022,225859.76999515583,2.0061382236e-314,0.3239992516596598,0.45017901396067017,0.10315304369066011
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.722,1.7976931348623157e+308,300.0,500000.0,1.0,1.0,1.0,1.0
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.62,3.1760533801033704e-05,166.72206776828966,228547.91595389767,1.8488074154e-314,0.32845715125190506,0.45557041186541025,0.10582815014606331
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.519,3.16336877872559e-05,166.6891761027464,229450.68279738494,1.778246978e-314,0.32829142116884374,0.4573810186342198,0.10618697765824871
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.418,3.1526693565482575e-05,166.9853466112333,230465.53045016326,1.7187294663e-314,0.32978372513585524,0.45941641685767803,0.1071445137018276
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.316,1.7976931348623157e+308,300.0,500000.0,1.0,1.0,1.0,1.0
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.215,1.7976931348623157e+308,300.0,500000.0,1.0,1.0,1.0,1.0
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.114,3.122819159525729e-05,168.0551354260816,233725.36250190658,1.552682234e-314,0.33517403256524336,0.46595439952800866,0.11044919166290018
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.013,1.7976931348623157e+308,300.0,500000.0,1.0,1.0,1.0,1.0
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.911,1.7976931348623157e+308,300.0,500000.0,1.0,1.0,1.0,1.0
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.81,3.1065511348311724e-05,169.17009569556902,236262.54165531072,1.4621883426e-314,0.3407919438208802,0.4710430154668602,0.11353995509163516
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.709,2.843694540289702e-05,169.6525769899223,237040.88379494127,0.0,0.3432230054186424,0.4726040736255992,0.11473966832618042
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.608,126027318.65982245,208.27682030748088,97968.4367958558,7.010502305191613e-301,0.5378376273135758,0.19367766454442042,0.15401241611299368
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.506,4466476379761243.0,209.08431554432656,74806.1609791312,2.4845599580616565e-293,0.5419063252789607,0.14722295292386983,0.15224988215557936
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.405,1.595364843411425,196.39796173304643,44942.75292619539,8.874353333880913e-309,0.4779840387008507,0.08732831994034207,0.11614092949228887
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.304,5.5770806932040475,202.22449497602366,108833.13040462,3.1023382957324294e-308,0.5073419876635632,0.2154681057098064,0.14030457236775062
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.203,116.79823429916915,213.06093535902374,117257.5442014194,6.497115864614417e-307,0.5619431802483724,0.23236427414330385,0.1713883578883635
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.101,1029.4465546388067,216.06828595787184,105340.65390772193,5.726486385457026e-306,0.5770962123709269,0.20846352680794386,0.17738427966873654
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.0,5.5409550147985894e-05,176.43826666702097,251104.87479769124,1.50040094286e-313,0.3774138223091462,0.5008110879723939,0.1339235330940231
