Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.848,6.404434661569882e-05,107.89608458899579,9115.853637669175,1.0241897889303922e-25,0.004496336936234477,0.024062645738395606,0.00015486125290495529
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.747,6.819186177310539e-05,108.49461730727393,2831.1192205543757,1.149259578857751e-25,0.009147750733764542,0.0056154280881776176,4.972392989691839e-05
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.646,7.42577697859349e-05,110.439660324239,918.0136866048703,1.3321791854391664e-25,0.024263382092945547,0.0,0.0002943558552941353
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.544,8.432641141244859e-05,111.62310428710971,3286.7751879617176,1.6358026431697828e-25,0.033460352299246744,0.00695288871045841,0.0005718832533498585
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.443,9.938816144307929e-05,113.02250532723411,9818.420315283562,2.0899950549576842e-25,0.04433560290382233,0.026124849095859513,0.0011534497774930675
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.342,0.0001224953319594989,115.80956013331716,20084.523158333468,2.786799973715683e-25,0.06599481180518596,0.05625834734672188,0.0029689080041470583
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.241,0.00013933367000464584,117.5028239598411,32889.08888383144,3.2945660269081766e-25,0.0791537761943173,0.09384284896249921,0.005334280218259645
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.139,0.0001507570508174566,119.66110455769291,48634.772694531144,3.639042125076757e-25,0.09592655376388744,0.14006024448465362,0.00950516987978323
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.038,0.00016447339720344225,122.69099629513227,67299.31349624941,4.052663412994799e-25,0.11947293611219319,0.19484519221021504,0.016628053463493008
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.937,0.00017539667068185947,127.33904862032436,89937.59348838357,4.382058597199259e-25,0.15559462847219793,0.2612940268824035,0.029173486325806207
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.835,0.00018169310435292867,135.50068022781664,119550.79722084482,4.571929786729664e-25,0.21902161368139372,0.34821595202936106,0.054298820941729414
