Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.519,1.7976931348623157e+308,300.0,500000.0,1.0,1.0,1.0,1.0
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.418,1.7976931348623157e+308,300.0,500000.0,1.0,1.0,1.0,1.0
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.316,3.1315084630521294e-05,171.3570637441332,237856.42186724313,3.478527924e-315,0.3206736544584097,0.473948690163741,0.10757263655883721
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.215,3.116501453593396e-05,170.62996432442728,237773.11188946897,2.64373531e-315,0.3168340515543543,0.47378150955514975,0.10630913781126272
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.114,3.114586617241528e-05,171.14275604810598,238546.00021295415,2.537219006e-315,0.3195419571557762,0.47533248752616314,0.10753877461592448
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.013,3.113874709323902e-05,171.75079223336067,239249.90835736223,2.49761781e-315,0.3227528213641659,0.47674504092155,0.10890615036008719
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.911,3.103472873216978e-05,170.9465998609161,239029.11380238272,1.91899647e-315,0.31850611275049906,0.4763019659254772,0.10743896261583542
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.81,3.1004503942430364e-05,171.28319725866433,239444.29789609852,1.7508655e-315,0.32028358679443963,0.47713512818670095,0.10820527062239055
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.709,3.100047039261428e-05,171.94506870966504,240150.7406243434,1.728428134e-315,0.3237787395569071,0.47855276780680756,0.10966952398841881
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.608,3.112488720064914e-05,173.49379464935808,241144.1238210418,2.4205196e-315,0.3319571157933183,0.48054621939358605,0.11282893060627641
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.506,3.103522515452605e-05,173.150047159178,241263.2616071129,1.921757913e-315,0.3301418841677849,0.4807852967299835,0.11228545722886213
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.405,3.0880273276379244e-05,172.24323442186443,241299.41959527537,1.05980948e-315,0.32535326692334837,0.48085785603953973,0.11073344357758347
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.304,3.0780503751692e-05,171.42504623976296,241235.28564143635,5.04823075e-316,0.32103265046441737,0.4807291565281411,0.10930611181616888
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.203,3.076310809738263e-05,171.7347551773901,241617.2535137649,4.0805654e-316,0.3226681342842312,0.4814956628106335,0.11001688076759614
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.101,3.072922184469827e-05,171.54981122600284,241779.11584742414,2.19558e-316,0.32169149847131695,0.48182047676656214,0.10978045305224997
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.0,3.068975205390382e-05,171.31063603567588,241915.44177259534,0.0,0.3204284830837805,0.4820940460525686,0.10944087369552036
